"member_casual","date","hour","day_of_week","day","month","year","count"
"casual","2021-12-19",12,"Monday",19,12,2021,217
"casual","2021-12-19",13,"Monday",19,12,2021,201
"casual","2021-12-19",14,"Monday",19,12,2021,185
"casual","2021-12-19",15,"Monday",19,12,2021,182
"casual","2021-12-19",16,"Monday",19,12,2021,165
"casual","2021-12-19",17,"Monday",19,12,2021,106
"casual","2021-12-19",18,"Monday",19,12,2021,78
"casual","2021-12-19",19,"Monday",19,12,2021,64
"casual","2021-12-19",20,"Monday",19,12,2021,62
"casual","2021-12-19",21,"Monday",19,12,2021,62
"casual","2021-12-19",22,"Monday",19,12,2021,50
"casual","2021-12-19",23,"Monday",19,12,2021,34
"casual","2021-12-20",0,"Tuesday",20,12,2021,27
"casual","2021-12-20",1,"Tuesday",20,12,2021,23
"casual","2021-12-20",2,"Tuesday",20,12,2021,8
"casual","2021-12-20",3,"Tuesday",20,12,2021,3
"casual","2021-12-20",4,"Tuesday",20,12,2021,7
"casual","2021-12-20",5,"Tuesday",20,12,2021,13
"casual","2021-12-20",6,"Tuesday",20,12,2021,17
"casual","2021-12-20",7,"Tuesday",20,12,2021,49
"casual","2021-12-20",8,"Tuesday",20,12,2021,66
"casual","2021-12-20",9,"Tuesday",20,12,2021,60
"casual","2021-12-20",10,"Tuesday",20,12,2021,68
"casual","2021-12-20",11,"Tuesday",20,12,2021,128
"casual","2021-12-20",12,"Tuesday",20,12,2021,162
"casual","2021-12-20",13,"Tuesday",20,12,2021,137
"casual","2021-12-20",14,"Tuesday",20,12,2021,171
"casual","2021-12-20",15,"Tuesday",20,12,2021,210
"casual","2021-12-20",16,"Tuesday",20,12,2021,207
"casual","2021-12-20",17,"Tuesday",20,12,2021,185
"casual","2021-12-20",18,"Tuesday",20,12,2021,181
"casual","2021-12-20",19,"Tuesday",20,12,2021,111
"casual","2021-12-20",20,"Tuesday",20,12,2021,87
"casual","2021-12-20",21,"Tuesday",20,12,2021,92
"casual","2021-12-20",22,"Tuesday",20,12,2021,153
"casual","2021-12-20",23,"Tuesday",20,12,2021,58
"casual","2021-12-21",0,"Wednesday",21,12,2021,19
"casual","2021-12-21",1,"Wednesday",21,12,2021,14
"casual","2021-12-21",2,"Wednesday",21,12,2021,10
"casual","2021-12-21",3,"Wednesday",21,12,2021,14
"casual","2021-12-21",4,"Wednesday",21,12,2021,6
"casual","2021-12-21",5,"Wednesday",21,12,2021,15
"casual","2021-12-21",6,"Wednesday",21,12,2021,26
"casual","2021-12-21",7,"Wednesday",21,12,2021,54
"casual","2021-12-21",8,"Wednesday",21,12,2021,64
"casual","2021-12-21",9,"Wednesday",21,12,2021,65
"casual","2021-12-21",10,"Wednesday",21,12,2021,82
"casual","2021-12-21",11,"Wednesday",21,12,2021,126
"casual","2021-12-21",12,"Wednesday",21,12,2021,107
"casual","2021-12-21",13,"Wednesday",21,12,2021,157
"casual","2021-12-21",14,"Wednesday",21,12,2021,105
